Simbol,Descriere
D2,*O3e*O4e*T22e*T18e*T23e*T19e*T20e*T1e*T24e
D2,*O3e*O4e*T22e*T18e*T23e*T19e*T20e *T1e*T24r
D2,*O3e*O4e*T22e*T18e*T23e*T19e*T20e *T1r
D2,*O3e*O4e*T22e*T18e*T23e*T19r
D2,*O3e*O4e*T22e*T18e*T23r
D2,*O3e*O4e*T22e*T18r
D2,*O3e*O4e*T22r*T23r
D2,*O3e*O4e*T22r*T18r*T23r*T19r
D2,*O3e*O4r*T22r*T18r*T23r*T19r
D2,*O3r*O4r*T22r*T18r*T23r*T19r
D2,*O3r*O4e*T22r*T18r*T23r*T19r
D2,*O3r*O4r*T22e* T18e*T23e*T19e*T1e*T24e
D2,*O3r*O4r*T22e* T18e*T23e*T19e*T1e*T24r
D2,*O3r*O4r*T22e* T18e*T23e*T19e*T1r
D2,*O3r*O4r*T22e* T18e*T23e*T19r
D2,*O3r*O4r*T22e* T18e*T23r
D2,*O3r*O4r*T22e* T18r*T23r
D2,*O3r*O4r*T22r
D2,*O3r*O4r
