Simbol,Descriere
O1,Proceduri pentru evitarea depozitarii in comun a explozivilor incompatibili
O2,Proceduri pentru etichetarea explozivilor pe grupe de compatibilitate
O3,Proceduri pentru licentierea si autorizarea autovehiculelor si a conducatorilor auto pentru transportul marfurilor periculoare (ADR)
O4,Proceduri pentru limitarea vitezei autovehiculelor de transport a explozivilor in interiorul amplasamentului
O5,Proceduri pentru asigurarea intretinerii si curatarii vegetatiei din incinta depozitului
O6,Proceduri de exploatare / intretinere pentru evitarea socurilor cauzate de impact
O7,"Proceduri de manipulare, incarcare/descarcare si transport pentru evitarea socurilor cauzate de impact"
O8,"Proceduri pentru alegerea echipamentelor pentru reducerea impactului, amortizarea socurilor"
O9,"Proceduri de manipulare, transport si depozitare pentru prevenirea si reducerea posibilitatilor de contact si frecare intre explozivii depozitati"
O10,Verificarea echipamentelor conform procedurilor ATEX
O11,Proceduri pentru efectuarea teestelor de stabilitate ale explozivilor
O12,Proceduri pentru adaptarea fluxului de depozitare a explozivilor pentru scurtarea timpilor de depozitare
O13,Controlul calitatii
O14,Controlul productiei
O15,Proceduri pentru intretinerea si curatentia spatiilor
O16,Proceduri si verificari pentru masurarea campurilor electromagnetice
O17,Proceduri pentru prevenirea radiatilor laser
