Simbol,Descriere
T1,Protectia constructiva a depozitului (cladirii) - tipul depozitului
T2,Amenajarea de incaperi separate pentru depozitarea explozivilor incompatibili
T3,Bariere de protectie intre incaperile depozitului
T4,Echipamente rezistente la soc
T5,Rasteluri si rafturi amenajate astfe incat energia de impact sa fie mai mica decat energia de aprindere
T6,"Depozitarea explozivilor pe rafturi si rasteluri, in cutiile de ambalare, astfel incat sa se evite frecare si/sau energia generata de frecare sa fie mai mica decat energia de aprindere"
T7,Dispozitive paratrasnet
T8,Legarea la pamant a echipamentelor electrice si protectia personalului
T9,Flux de distribuire a explozivilor adaptat pentru a conduce la scaderea timpului de depozitare
T10,Prevenirea contactului cu impuritatile - Intretinerea si curatenia spatiilor de depozitare
T11,Capsularea antideflagranta a echipamentelor electrice
T12,Eliminarea surselor electrice
T13,Curenti de dispersie cu energie mai mica decat energia de aprindere
T14,Eliminarea surselor de radiatie laser
T15,Eliminarea surselor radio
T16,Eliminarea surselor de radiatie telefonica mobila
T17,Detectoare de incendiu in exterior si in interior
T18,Operatori instruiti pentru detectarea si interventia operativa in caz de incendiu
T19,"Rezervoare de apa, puturi de apa sau racordarea depozitului la reteaua de apa, hidranti de incendiu"
T20,"Dotarea cu pompe de inalta presiune, pompe diesel sau electrice"
T21,"Dotarea cu sprinklere, aspersoare"
T22,"Autovehicule autorizate ADR, protejate contra incendiilor"
T23,Stingatoare de incendiu
T24,"Baricade, imprejmuiri, valuri de pamant pentru protectia depozitului"
